@relation RainfallTestingDataset

@attribute Precipitation numeric
@attribute MinimumTemp numeric
@attribute AverageTemp numeric
@attribute MaximumTemp numeric
@attribute CloudCover numeric
@attribute VapourPressure numeric
@attribute WetDayFrequency numeric
@attribute DiurnalTemperature numeric
@attribute GroundFrostFreq numeric
@attribute ReferenceCropEvapotranspiration numeric
@attribute PotentialEvapotranspiration numeric
@attribute class {0,1}

@data
21.727,22.001,26.148,30.317,37.824,24.873,1.8246,8.293,0,3.61,5.07,0
1.833,22.038,26.609,31.186,23.5,24.032,1.2046,9.148,0,4.17,5.92,1
0.103,24.307,29.04,33.813,27.029,26.469,0.103,9.449,0,4.93,6.45,0
2.25,26.527,30.917,35.284,28.666,29.266,1.0065,8.756,0,5.18,6.56,0
75.328,27.142,31.983,36.813,50.626,30.845,3.511,9.668,0,5.61,6.64,1
23.247,26.495,31.22,35.969,71.498,28.933,1.9079,9.475,0,5.46,6.2,1
15.654,26.446,31.014,35.584,68.696,29.799,1.8753,9.137,0,5.35,6.18,1
56.028,25.079,29.569,34.106,74.051,28.952,3.7061,9.006,0,5.14,5.97,0
114.138,25.508,29.836,34.23,54.631,30.846,5.7257,8.718,0,4.94,6.06,1
290.098,24.299,28.146,32.013,66.717,28.462,9.6696,7.713,0,4.15,5.15,0
255.73,22.868,26.447,30.048,57.258,26.62,8.1562,7.178,0,3.49,4.69,0
73.909,21.757,25.346,28.937,43.847,24.737,3.9234,7.178,0,3.19,4.59,0
